Date,t1,t2,t3,Close
1/7/2010,15.68443394,15.61536503,15.22172165,14.86736679
1/8/2010,15.61536503,15.22172165,14.86736679,15.06556606
1/11/2010,15.22172165,14.86736679,15.06556606,15.04279327
1/12/2010,14.86736679,15.06556606,15.04279327,14.77677727
1/13/2010,15.06556606,15.04279327,14.77677727,14.69194221
1/14/2010,15.04279327,14.77677727,14.69194221,14.76101112
1/15/2010,14.77677727,14.69194221,14.76101112,14.51451492
1/19/2010,14.69194221,14.76101112,14.51451492,14.70520496
1/20/2010,14.76101112,14.51451492,14.70520496,14.52477455
1/21/2010,14.51451492,14.70520496,14.52477455,14.58908939
1/22/2010,14.70520496,14.52477455,14.58908939,13.76401424
1/25/2010,14.52477455,14.58908939,13.76401424,13.51351357
1/26/2010,14.58908939,13.76401424,13.51351357,13.57407379
1/27/2010,13.76401424,13.51351357,13.57407379,13.56606579
1/28/2010,13.51351357,13.57407379,13.56606579,13.37062073
1/29/2010,13.57407379,13.56606579,13.37062073,13.26176167
2/1/2010,13.56606579,13.37062073,13.26176167,13.33883858
2/2/2010,13.37062073,13.26176167,13.33883858,13.29129124
2/3/2010,13.26176167,13.33883858,13.29129124,13.53403378
2/4/2010,13.33883858,13.29129124,13.53403378,13.18268299
2/5/2010,13.29129124,13.53403378,13.18268299,13.29554558
2/8/2010,13.53403378,13.18268299,13.29554558,13.35009956
2/9/2010,13.18268299,13.29554558,13.35009956,13.42442417
2/10/2010,13.29554558,13.35009956,13.42442417,13.37462521
2/11/2010,13.35009956,13.42442417,13.37462521,13.42342281
2/12/2010,13.42442417,13.37462521,13.42342281,13.34134102
2/16/2010,13.37462521,13.42342281,13.34134102,13.54604626
2/17/2010,13.42342281,13.34134102,13.54604626,13.46871853
2/18/2010,13.34134102,13.54604626,13.46871853,13.59409428
2/19/2010,13.54604626,13.46871853,13.59409428,13.53253269
2/22/2010,13.46871853,13.59409428,13.53253269,13.58358383
2/23/2010,13.59409428,13.53253269,13.58358383,13.39013958
2/24/2010,13.53253269,13.58358383,13.39013958,13.30004978
2/25/2010,13.58358383,13.39013958,13.30004978,13.17392445
2/26/2010,13.39013958,13.30004978,13.17392445,13.18318272
3/1/2010,13.30004978,13.17392445,13.18318272,13.33058071
3/2/2010,13.17392445,13.18318272,13.33058071,13.54004002
3/3/2010,13.18318272,13.33058071,13.54004002,13.64664745
3/4/2010,13.33058071,13.54004002,13.64664745,13.87862873
3/5/2010,13.54004002,13.64664745,13.87862873,14.11936855
3/8/2010,13.64664745,13.87862873,14.11936855,14.07607555
3/9/2010,13.87862873,14.11936855,14.07607555,14.01876926
3/10/2010,14.11936855,14.07607555,14.01876926,14.42567635
3/11/2010,14.07607555,14.01876926,14.42567635,14.54304314
3/12/2010,14.01876926,14.42567635,14.54304314,14.50300312
3/15/2010,14.42567635,14.54304314,14.50300312,14.0935936
3/16/2010,14.54304314,14.50300312,14.0935936,14.14414406
3/17/2010,14.50300312,14.0935936,14.14414406,14.15315342
3/18/2010,14.0935936,14.14414406,14.15315342,14.17417431
3/19/2010,14.14414406,14.15315342,14.17417431,14.01401424
3/22/2010,14.15315342,14.17417431,14.01401424,13.9514513
3/23/2010,14.17417431,14.01401424,13.9514513,13.73873901
3/24/2010,14.01401424,13.9514513,13.73873901,13.94719696
3/25/2010,13.9514513,13.73873901,13.94719696,14.08608627
3/26/2010,13.73873901,13.94719696,14.08608627,14.08133125
3/29/2010,13.94719696,14.08608627,14.08133125,14.07532501
3/30/2010,14.08608627,14.08133125,14.07532501,14.18193245
3/31/2010,14.08133125,14.07532501,14.18193245,14.19219208
4/1/2010,14.07532501,14.18193245,14.19219208,14.23423386
4/5/2010,14.18193245,14.19219208,14.23423386,14.28954029
4/6/2010,14.19219208,14.23423386,14.28954029,14.21971989
4/7/2010,14.23423386,14.28954029,14.21971989,14.10260296
4/8/2010,14.28954029,14.21971989,14.10260296,14.2014513
4/9/2010,14.21971989,14.10260296,14.2014513,14.1696701
4/12/2010,14.10260296,14.2014513,14.1696701,14.33258343
4/13/2010,14.2014513,14.1696701,14.33258343,14.68393421
4/14/2010,14.1696701,14.33258343,14.68393421,14.73974037
4/15/2010,14.33258343,14.68393421,14.73974037,14.89739704
4/16/2010,14.68393421,14.73974037,14.89739704,13.76751804
4/19/2010,14.73974037,14.89739704,13.76751804,13.76626587
4/20/2010,14.89739704,13.76751804,13.76626587,13.88988972
4/21/2010,13.76751804,13.76626587,13.88988972,13.87137127
4/22/2010,13.76626587,13.88988972,13.87137127,13.69019032
4/23/2010,13.88988972,13.87137127,13.69019032,13.63838768
4/26/2010,13.87137127,13.69019032,13.63838768,13.30430412
4/27/2010,13.69019032,13.63838768,13.30430412,13.23974037
4/28/2010,13.63838768,13.30430412,13.23974037,13.24299335
4/29/2010,13.30430412,13.23974037,13.24299335,13.31331253
4/30/2010,13.23974037,13.24299335,13.31331253,13.15565586
5/3/2010,13.24299335,13.31331253,13.15565586,13.27827835
5/4/2010,13.31331253,13.15565586,13.27827835,12.67192173
5/5/2010,13.15565586,13.27827835,12.67192173,12.75675678
5/6/2010,13.27827835,12.67192173,12.75675678,12.47922897
5/7/2010,12.67192173,12.75675678,12.47922897,12.34084129
5/10/2010,12.75675678,12.47922897,12.34084129,13.05430412
5/11/2010,12.47922897,12.34084129,13.05430412,12.73898888
5/12/2010,12.34084129,13.05430412,12.73898888,12.64739704
5/13/2010,13.05430412,12.73898888,12.64739704,12.78478527
5/14/2010,12.73898888,12.64739704,12.78478527,12.70095062
5/17/2010,12.64739704,12.78478527,12.70095062,12.71196175
5/18/2010,12.78478527,12.70095062,12.71196175,12.47172165
5/19/2010,12.70095062,12.71196175,12.47172165,12.37312317
5/20/2010,12.71196175,12.47172165,12.37312317,11.88713741
5/21/2010,12.47172165,12.37312317,11.88713741,11.81306267
5/24/2010,12.37312317,11.88713741,11.81306267,11.94094086
5/25/2010,11.88713741,11.81306267,11.94094086,11.93868923
5/26/2010,11.81306267,11.94094086,11.93868923,11.89864922
5/27/2010,11.94094086,11.93868923,11.89864922,12.27377415
5/28/2010,11.93868923,11.89864922,12.27377415,12.1529026
6/1/2010,11.89864922,12.27377415,12.1529026,12.07132053
